timestamp,tweet_text,username,all_hashtags,followers_count
2020-05-05 15:02:31,"@JumiaNigeria #JumiaSpinAndWin I love this game, it's a way of showing love to jumia customers https://t.co/RCTbRE1dWB",b'SolaOlogbosere',['JumiaSpinAndWin'],98
2020-05-05 15:00:18,Read a thread earlier today that basically highlighted the same thing citing it as a Rocket Group problem which Jumia is part of.  They're focused on cloning existing models that they miss out on intricacies and end up building infrastructures with technical (&amp; domain) debt. https://t.co/zauXkuYn4g,b'alfaruqstories',[],1655
2020-05-05 14:58:49,This Ken wa Maria Jumia ad is so annoying 🙂,b'_wack___',[],550
2020-05-05 14:58:29,Why is Jumia food site down? How will I get this ice cream? 😥😥,b'ms_seyii',[],1151
2020-05-05 14:57:39,"@africatechie @heyfidele @TefoMohapi The results may also show something else, already explaoend that in the piece. Jumia might or might not fail anyway. And you'll be probably be happy if it does, considering your attitude . Which proves my point from the article.",b'marekchinedu',[],28384
2020-05-05 14:56:48,"How i made ₦1,603,482 selling on #Jumia and how you can too https://t.co/RI61yfzyhF #JumiaNG",b'JBeeSolutions',"['Jumia', 'JumiaNG']",1013
2020-05-05 14:56:38,Jumia delivery time within Nigeria is totally annoying. That 7 shit days is crap.,b'Adexuxin',[],1721
2020-05-05 14:53:35,"@Chiemerie16 Hi, thanks for contacting Jumia. Kindly check your direct message for an update on your Inquiry. We appreciate your patience.  -James",b'JumiaNGHelp',[],16828
2020-05-05 14:53:07,@tonipayne I only know of jumia/slots,b'Bigshegzydu92',[],186
2020-05-05 14:52:56,"@Chiemerie16 Hi, thanks for contacting Jumia. Kindly check your direct message for an update on your inquiry. We appreciate your patience.  -James",b'JumiaNGHelp',[],16828
2020-05-05 14:51:52,Jumia food won’t put the “Cancel order” option because they’re full of evil.,b'jayontherockss',[],1945
2020-05-05 14:50:54,"So jumia food @JumiaFoodNG has started scamming people, you order, get debited and they never deliver.",b'Jaydee77348463',[],27
2020-05-05 14:50:17,@Bigshegzydu92 Yeah most are shipped from the US or delivery by May 12. I was gonna try this first and use jumia as last resort cos I need it ASAP.,b'tonipayne',[],118183
2020-05-05 14:50:04,@SuperBShaddie @bekanenzino I'm from NKH but not a Jumia agent. I'm just an affiliate partner. ✌️,b'iamFRANQ',[],16631
2020-05-05 14:49:04,@tonipayne You can do through jumia,b'Bigshegzydu92',[],186
